noteId,Topic,Topic_Keywords
1685960247410593792,4,4_politisch_polizei_politiker_politik
1710679009275543829,1,1_israel_hamas_gaza_israelisch
1721963113489063956,-1,-1_amp_deutschland_afd_handeln
1757069310889951741,2,2_russland_ukraine_ukrain_russisch
1835819021452677209,15,15_climate_temperaturen_global_change
1686576919226032128,-1,-1_amp_deutschland_afd_handeln
1826257795022201018,-1,-1_amp_deutschland_afd_handeln
1861508907937444275,-1,-1_amp_deutschland_afd_handeln
1861509390831870184,-1,-1_amp_deutschland_afd_handeln
1869639257880416754,0,0_post_kommentar_anmerkung_meinung
1798293374631366741,-1,-1_amp_deutschland_afd_handeln
1724727186207256692,-1,-1_amp_deutschland_afd_handeln
1494421335627468802,16,16_joke_don_that_mem
1733690912952168710,13,13_land_landtag_afd_geschaeftsordnung
1736368128215433440,1,1_israel_hamas_gaza_israelisch
1738124442859876824,11,11_auto_tesla_verbrenner_fahrzeug
1739079004911509851,1,1_israel_hamas_gaza_israelisch
1740226615802486864,1,1_israel_hamas_gaza_israelisch
1743511185641644288,-1,-1_amp_deutschland_afd_handeln
1743511443285090461,-1,-1_amp_deutschland_afd_handeln
1743512614586421253,-1,-1_amp_deutschland_afd_handeln
1743513226883555783,-1,-1_amp_deutschland_afd_handeln
1743513480655724755,-1,-1_amp_deutschland_afd_handeln
1743514061558440212,-1,-1_amp_deutschland_afd_handeln
1743515728450306289,-1,-1_amp_deutschland_afd_handeln
1743516253203955854,-1,-1_amp_deutschland_afd_handeln
1744258386818949247,1,1_israel_hamas_gaza_israelisch
1744390987311407168,0,0_post_kommentar_anmerkung_meinung
1744721117213053035,8,8_foto_bild_fake_bergamo
1745417686429974804,1,1_israel_hamas_gaza_israelisch
1747240859924320285,-1,-1_amp_deutschland_afd_handeln
1747427233537429517,6,6_internet_art_stgb_grundgesetz
1747430860603658438,1,1_israel_hamas_gaza_israelisch
1749221574761169232,1,1_israel_hamas_gaza_israelisch
1751574491304448069,-1,-1_amp_deutschland_afd_handeln
1753486594701443150,-1,-1_amp_deutschland_afd_handeln
1754606775934890206,1,1_israel_hamas_gaza_israelisch
1755578686097563768,2,2_russland_ukraine_ukrain_russisch
1756350047728320723,1,1_israel_hamas_gaza_israelisch
1759151253156667810,1,1_israel_hamas_gaza_israelisch
1769636320232562886,3,3_video_zeigen_sehen_videos
1784803125783560220,-1,-1_amp_deutschland_afd_handeln
1787802449757032634,-1,-1_amp_deutschland_afd_handeln
1787819952445051322,-1,-1_amp_deutschland_afd_handeln
1787820621906235417,-1,-1_amp_deutschland_afd_handeln
1790709582131605600,-1,-1_amp_deutschland_afd_handeln
1790709722695258201,-1,-1_amp_deutschland_afd_handeln
1791427864740438348,4,4_politisch_polizei_politiker_politik
1791490832362606602,5,5_covid_impfung_corona_studie
1792926258868719655,2,2_russland_ukraine_ukrain_russisch
1795479690229993947,1,1_israel_hamas_gaza_israelisch
1797913226262253611,6,6_internet_art_stgb_grundgesetz
1802343971777048737,4,4_politisch_polizei_politiker_politik
1803569481136087689,0,0_post_kommentar_anmerkung_meinung
1803841590139433000,-1,-1_amp_deutschland_afd_handeln
1804147435104784848,4,4_politisch_polizei_politiker_politik
1804147865159155864,4,4_politisch_polizei_politiker_politik
1809368660332417220,-1,-1_amp_deutschland_afd_handeln
1810666553878175792,11,11_auto_tesla_verbrenner_fahrzeug
1814642071635988761,8,8_foto_bild_fake_bergamo
1815289920283635749,-1,-1_amp_deutschland_afd_handeln
1819510575980073344,9,9_frau_khelif_biologisch_gender
1829001533247062074,5,5_covid_impfung_corona_studie
1829088076246720517,11,11_auto_tesla_verbrenner_fahrzeug
1832976064101876122,-1,-1_amp_deutschland_afd_handeln
1833009499462050162,1,1_israel_hamas_gaza_israelisch
1833009829763268820,1,1_israel_hamas_gaza_israelisch
1835125697691480271,10,10_satire_account_offensichtlich_handeln
1836386409294319813,-1,-1_amp_deutschland_afd_handeln
1839456178734055685,1,1_israel_hamas_gaza_israelisch
1839696709363871898,-1,-1_amp_deutschland_afd_handeln
1840101922725847279,-1,-1_amp_deutschland_afd_handeln
1840922290147492210,-1,-1_amp_deutschland_afd_handeln
1841259954444861867,1,1_israel_hamas_gaza_israelisch
1842249162697429219,-1,-1_amp_deutschland_afd_handeln
1845304583246987609,-1,-1_amp_deutschland_afd_handeln
1845306154219446361,-1,-1_amp_deutschland_afd_handeln
1847217799904612727,-1,-1_amp_deutschland_afd_handeln
1849202600672936323,-1,-1_amp_deutschland_afd_handeln
1849983599732199536,-1,-1_amp_deutschland_afd_handeln
1849985121186677020,-1,-1_amp_deutschland_afd_handeln
1851184470352605454,-1,-1_amp_deutschland_afd_handeln
1863243982165459071,-1,-1_amp_deutschland_afd_handeln
1866088307399983252,-1,-1_amp_deutschland_afd_handeln
1868011098231976082,-1,-1_amp_deutschland_afd_handeln
1868658656285270391,2,2_russland_ukraine_ukrain_russisch
1870519094954598835,1,1_israel_hamas_gaza_israelisch
1871308712188743895,-1,-1_amp_deutschland_afd_handeln
1872814313116725726,-1,-1_amp_deutschland_afd_handeln
1872816442506088469,-1,-1_amp_deutschland_afd_handeln
1877407469825032338,6,6_internet_art_stgb_grundgesetz
1880927734332817828,4,4_politisch_polizei_politiker_politik
1881517023920009524,9,9_frau_khelif_biologisch_gender
1881524670698016786,-1,-1_amp_deutschland_afd_handeln
1882087111202914625,-1,-1_amp_deutschland_afd_handeln
